HourUTC,PriceArea,SpotPriceDKK
2020-12-31 23:00:00,DK2,378.519989
2021-01-01 00:00:00,DK2,358.579987
2021-01-01 01:00:00,DK2,332.459991
2021-01-01 02:00:00,DK2,319.369995
2021-01-01 03:00:00,DK2,300.540009
2021-01-01 04:00:00,DK2,299.130005
2021-01-01 05:00:00,DK2,294.890015
2021-01-01 06:00:00,DK2,298.309998
2021-01-01 07:00:00,DK2,307.089996
2021-01-01 08:00:00,DK2,333.950012
2021-01-01 09:00:00,DK2,334.850006
2021-01-01 10:00:00,DK2,351.220001
2021-01-01 11:00:00,DK2,377.850006
2021-01-01 12:00:00,DK2,338.48999
2021-01-01 13:00:00,DK2,332.839996
2021-01-01 14:00:00,DK2,346.679993
2021-01-01 15:00:00,DK2,394.299988
2021-01-01 16:00:00,DK2,448.390015
2021-01-01 17:00:00,DK2,451
2021-01-01 18:00:00,DK2,449.140015
2021-01-01 19:00:00,DK2,427.109985
2021-01-01 20:00:00,DK2,400.769989
2021-01-01 21:00:00,DK2,397.720001
2021-01-01 22:00:00,DK2,369.970001
2021-01-01 23:00:00,DK2,347.420013
2021-01-02 00:00:00,DK2,315.720001
2021-01-02 01:00:00,DK2,305.75
2021-01-02 02:00:00,DK2,297.640015
2021-01-02 03:00:00,DK2,279.410004
2021-01-02 04:00:00,DK2,290.200012
2021-01-02 05:00:00,DK2,313.190002
2021-01-02 06:00:00,DK2,334.549988
2021-01-02 07:00:00,DK2,360.519989
2021-01-02 08:00:00,DK2,386.929993
2021-01-02 09:00:00,DK2,386.929993
2021-01-02 10:00:00,DK2,388.049988
2021-01-02 11:00:00,DK2,416.320007
2021-01-02 12:00:00,DK2,386.929993
2021-01-02 13:00:00,DK2,377.179993
2021-01-02 14:00:00,DK2,397.720001
2021-01-02 15:00:00,DK2,446.390015
2021-01-02 16:00:00,DK2,461.339996
2021-01-02 17:00:00,DK2,469.380005
2021-01-02 18:00:00,DK2,462.609985
2021-01-02 19:00:00,DK2,446.679993
2021-01-02 20:00:00,DK2,409.480011
2021-01-02 21:00:00,DK2,388.790009
2021-01-02 22:00:00,DK2,360.519989
2021-01-02 23:00:00,DK2,343.100006
2021-01-03 00:00:00,DK2,309.470001
2021-01-03 01:00:00,DK2,276.880005
2021-01-03 02:00:00,DK2,261.769989
2021-01-03 03:00:00,DK2,183.419998
2021-01-03 04:00:00,DK2,177.470001
2021-01-03 05:00:00,DK2,178.960007
2021-01-03 06:00:00,DK2,184.539993
2021-01-03 07:00:00,DK2,185.800003
2021-01-03 08:00:00,DK2,190.860001
2021-01-03 09:00:00,DK2,193.470001
2021-01-03 10:00:00,DK2,200.089996
2021-01-03 11:00:00,DK2,192.5
2021-01-03 12:00:00,DK2,192.199997
2021-01-03 13:00:00,DK2,193.610001
2021-01-03 14:00:00,DK2,197.190002
2021-01-03 15:00:00,DK2,247.559998
2021-01-03 16:00:00,DK2,327.109985
2021-01-03 17:00:00,DK2,322.570007
2021-01-03 18:00:00,DK2,207.75
2021-01-03 19:00:00,DK2,205.070007
2021-01-03 20:00:00,DK2,201.199997
2021-01-03 21:00:00,DK2,194.809998
2021-01-03 22:00:00,DK2,185.429993
2021-01-03 23:00:00,DK2,183.5
2021-01-04 00:00:00,DK2,178.960007
2021-01-04 01:00:00,DK2,177.690002
2021-01-04 02:00:00,DK2,178.809998
2021-01-04 03:00:00,DK2,182.899994
2021-01-04 04:00:00,DK2,192.279999
2021-01-04 05:00:00,DK2,209.910004
2021-01-04 06:00:00,DK2,370.26001
2021-01-04 07:00:00,DK2,404.940002
2021-01-04 08:00:00,DK2,414.390015
2021-01-04 09:00:00,DK2,415.209991
2021-01-04 10:00:00,DK2,433.589996
2021-01-04 11:00:00,DK2,428.01001
2021-01-04 12:00:00,DK2,420.640015
2021-01-04 13:00:00,DK2,431.5
2021-01-04 14:00:00,DK2,431.799988
2021-01-04 15:00:00,DK2,450.179993
2021-01-04 16:00:00,DK2,485.299988
2021-01-04 17:00:00,DK2,446.829987
2021-01-04 18:00:00,DK2,399.799988
2021-01-04 19:00:00,DK2,280.380005
2021-01-04 20:00:00,DK2,286.399994
2021-01-04 21:00:00,DK2,230.300003
2021-01-04 22:00:00,DK2,203.509995
2021-01-04 23:00:00,DK2,206.850006
2021-01-05 00:00:00,DK2,204.169998
2021-01-05 01:00:00,DK2,201.419998
2021-01-05 02:00:00,DK2,201.869995
2021-01-05 03:00:00,DK2,206.699997
2021-01-05 04:00:00,DK2,221.729996
2021-01-05 05:00:00,DK2,266.130005
2021-01-05 06:00:00,DK2,398.970001
2021-01-05 07:00:00,DK2,446.279999
2021-01-05 08:00:00,DK2,447.170013
2021-01-05 09:00:00,DK2,455.059998
2021-01-05 10:00:00,DK2,464.579987
2021-01-05 11:00:00,DK2,457.290009
2021-01-05 12:00:00,DK2,463.309998
2021-01-05 13:00:00,DK2,461.450012
2021-01-05 14:00:00,DK2,464.950012
2021-01-05 15:00:00,DK2,477.970001
2021-01-05 16:00:00,DK2,487.929993
2021-01-05 17:00:00,DK2,447.25
2021-01-05 18:00:00,DK2,406.559998
2021-01-05 19:00:00,DK2,303.320007
2021-01-05 20:00:00,DK2,294.540009
2021-01-05 21:00:00,DK2,238.460007
2021-01-05 22:00:00,DK2,217.259995
2021-01-05 23:00:00,DK2,221.880005
2021-01-06 00:00:00,DK2,213.619995
2021-01-06 01:00:00,DK2,209.080002
